Trends in Number of COVID-19 Vaccinations in the US
Date generated: Wed May 12 2021 18:36:20 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-15,LTC,105716,38388,66583,6147719,4301534,1803753,55542,129732,73079,null,null,66583,4301534,1803754,73079
Admin,2021-02-16,US,1564512,786538,755755,62668506,43800070,17976561,908723,1665557,737531,null,null,755794,43800070,17978106,737576
Report,2021-02-16,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2021-02-16,LTC,113328,42342,70031,6261047,4343876,1873784,50907,121733,69782,null,null,70031,4343876,1873785,69782
Admin,2021-02-17,US,1901372,921815,956399,64569878,44721885,18932960,869137,1622902,733718,null,null,956456,44721885,18934562,733764
Report,2021-02-17,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2021-02-17,LTC,117842,40659,75841,6378889,4384535,1949625,47984,115361,66415,null,null,75841,4384535,1949626,66414
Admin,2021-02-18,US,1780359,820353,932838,66350237,45542238,19865798,808112,1547968,718821,null,null,932915,45542238,19867477,718870
Report,2021-02-18,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2021-02-18,LTC,111676,36782,73318,6490565,4421317,2022943,44306,108471,63165,null,null,73318,4421317,2022944,63165
Admin,2021-02-19,US,1888955,818491,1043110,68239192,46360729,20908908,732469,1462867,709631,null,null,1043255,46360729,20910732,709691
Report,2021-02-19,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2021-02-19,LTC,111954,37371,73168,6602519,4458688,2096111,37601,99961,61315,null,null,73168,4458688,2096112,61315
Admin,2021-02-20,US,1260162,592259,651380,69499354,46952988,21560288,696216,1439908,723005,null,null,651417,46952988,21562149,723065
Report,2021-02-20,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
Admin,2021-02-20,LTC,60610,19359,40655,6663129,4478047,2136766,34279,96424,61083,null,null,40655,4478047,2136767,61083
Admin,2021-02-21,US,555180,242442,303064,70054534,47195430,21863352,683059,1438660,734881,null,null,303105,47195430,21865254,734945
Report,2021-02-21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2021-02-21,LTC,42311,12807,29004,6705440,4490854,2165770,32530,94776,61229,null,null,29004,4490854,2165771,61228
Admin,2021-02-22,US,1394276,610075,757804,71448810,47805505,22621156,684568,1477830,771479,null,null,757882,47805505,22623136,771546
Report,2021-02-22,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2021-02-22,LTC,94387,29206,64289,6799827,4520060,2230059,31218,93158,60901,null,null,64289,4520060,2230060,60900
Admin,2021-02-23,US,1857536,856543,968177,73306346,48662048,23589333,694568,1519691,801825,null,null,968242,48662048,23591378,801896
Report,2021-02-23,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2021-02-23,LTC,93398,29908,62491,6893225,4549968,2292550,29442,90311,59824,null,null,62491,4549968,2292551,59823
Admin,2021-02-24,US,2415654,1226331,1158380,75722000,49888379,24747713,738071,1593160,830679,null,null,1158504,49888379,24749882,830760
Report,2021-02-24,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2021-02-24,LTC,105385,38083,66513,6998610,4588051,2359063,29074,88531,58491,null,null,66513,4588051,2359064,58491
Admin,2021-02-25,US,2802206,1502930,1260290,78524206,51391309,26008003,835582,1739138,877458,null,null,1260478,51391309,26010360,877554
Report,2021-02-25,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2021-02-25,LTC,110446,42040,67433,7109056,4630091,2426496,29825,88355,57650,null,null,67433,4630091,2426497,57650
Admin,2021-02-26,US,2976711,1641678,1301821,81500917,53032987,27309824,953180,1894532,914417,null,null,1301918,53032987,27312278,914506
Report,2021-02-26,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
